views,comments,freq,month-year,moving-avg-views,piecewise-views,moving-avg-comments,piecewise-comments,moving-avg-freq,piecewise-freq
2000,7,1,2007-08-01,0.0,1140.9518798399251,0.0,3.573750518248928,0.0,0.3646381083005799
0,0,0,2008-01-01,0.0,1159.864890076269,0.0,3.727139540662228,0.0,0.37474364925162607
0,0,0,2008-02-01,0.0,1178.7779003126127,0.0,3.880528563075528,0.0,0.3848491902026722
0,0,0,2008-03-01,500.0,1197.6909105489567,1.75,4.033917585488828,0.25,0.3949547311537184
0,0,0,2008-04-01,0.0,1216.6039207853005,0.0,4.187306607902128,0.0,0.4050602721047646
0,0,0,2008-05-01,0.0,1235.5169310216443,0.0,4.3406956303154285,0.0,0.41516581305581074
0,0,0,2008-06-01,0.0,1254.429941257988,0.0,4.494084652728728,0.0,0.4252713540068569
3000,11,1,2008-07-01,750.0,1273.3429514943318,2.75,4.647473675142028,0.25,0.43537689495790305
0,0,0,2008-08-01,750.0,1292.2559617306758,2.75,4.800862697555328,0.25,0.4454824359089492
0,0,0,2008-09-01,750.0,1311.1689719670196,2.75,4.954251719968628,0.25,0.45558797685999536
0,0,0,2008-10-01,750.0,1330.0819822033634,2.75,5.107640742381928,0.25,0.4656935178110415
2000,13,1,2008-11-01,500.0,1348.9949924397072,3.25,5.261029764795228,0.25,0.4757990587620877
3000,44,1,2008-12-01,1250.0,1367.9080026760512,14.25,5.414418787208527,0.5,0.4859045997131338
0,0,0,2009-01-01,1250.0,1386.821012912395,14.25,5.5678078096218275,0.5,0.49601014066418003
0,0,0,2009-02-01,1250.0,1405.7340231487387,14.25,5.721196832035128,0.5,0.5061156816152261
2000,7,1,2009-03-01,1250.0,1424.6470333850825,12.75,5.874585854448428,0.5,0.5162212225662723
2000,11,1,2009-04-01,1000.0,1443.5600436214263,4.5,6.027974876861728,0.5,0.5263267635173186
2000,3,1,2009-05-01,1500.0,1462.4730538577703,5.25,6.181363899275027,0.75,0.5364323044683647
2000,6,1,2009-06-01,2000.0,1481.386064094114,6.75,6.334752921688327,1.0,0.5465378454194108
7712,5,2,2009-07-01,3428.0,1500.2990743304579,6.25,6.488141944101628,1.25,0.556643386370457
3000,30,1,2009-08-01,3678.0,1519.2120845668019,11.0,6.641530966514928,1.25,0.5667489273215032
8000,24,2,2009-09-01,5178.0,1538.1250948031457,16.25,6.7949199889282275,1.5,0.5768544682725493
9000,8,1,2009-10-01,6928.0,1557.0381050394894,16.75,6.948309011341527,1.5,0.5869600092235955
985,2,1,2009-11-01,5246.25,1575.9511152758332,16.0,7.101698033754827,1.25,0.5970655501746416
3000,19,1,2009-12-01,5246.25,1594.864125512177,13.25,7.2550870561681275,1.25,0.6071710911256878
5000,24,2,2010-01-01,4496.25,1613.7771357485208,13.25,7.408476078581428,1.25,0.617276632076734
1000,3,1,2010-02-01,2496.25,1632.6901459848648,12.0,7.561865100994727,1.25,0.6273821730277801
1000,1,1,2010-03-01,2500.0,1651.6031562212086,11.75,7.715254123408027,1.25,0.6374877139788262
0,0,0,2010-04-01,1750.0,1670.5161664575523,7.0,7.868643145821327,1.0,0.6475932549298724
0,0,0,2010-05-01,500.0,1689.4291766938964,1.0,8.022032168234627,0.5,0.6576987958809186
0,0,0,2010-06-01,250.0,1708.3421869302401,0.25,8.175421190647928,0.25,0.6678043368319648
915,5,1,2010-07-01,228.75,1727.255197166584,1.25,8.328810213061226,0.25,0.6779098777830109
0,0,0,2010-08-01,228.75,1746.1682074029277,1.25,8.482199235474527,0.25,0.688015418734057
0,0,0,2010-09-01,228.75,1765.0812176392715,1.25,8.635588257887827,0.25,0.6981209596851032
2000,13,1,2010-10-01,728.75,1783.9942278756153,4.5,8.788977280301127,0.5,0.7082265006361494
3000,32,2,2010-11-01,1250.0,1802.907238111959,11.25,8.942366302714428,0.75,0.7183320415871955
951,3,1,2010-12-01,1487.75,1821.820248348303,12.0,9.095755325127726,1.0,0.7284375825382416
0,0,0,2011-01-01,1487.75,1840.7332585846468,12.0,9.249144347541026,1.0,0.7385431234892879
5000,9,1,2011-02-01,2237.75,1859.6462688209908,11.0,9.402533369954327,1.0,0.7486486644403341
4000,18,1,2011-03-01,2487.75,1878.5592790573346,7.5,9.555922392367627,0.75,0.7587542053913803
0,0,0,2011-04-01,2250.0,1897.4722892936784,6.75,9.709311414780927,0.5,0.7688597463424264
2000,3,1,2011-05-01,2750.0,1916.3852995300222,7.5,9.862700437194226,0.75,0.7789652872934725
3000,2,1,2011-06-01,2250.0,1935.298309766366,5.75,10.016089459607526,0.75,0.7890708282445187
0,0,0,2011-07-01,1250.0,1954.2113200027097,1.25,10.169478482020827,0.5,0.7991763691955649
0,0,0,2011-08-01,1250.0,1973.1243302390535,1.25,10.322867504434127,0.5,0.8092819101466111
0,0,0,2011-09-01,750.0,1992.0373404753975,0.5,10.476256526847427,0.25,0.8193874510976572
0,0,0,2011-10-01,0.0,2010.9503507117413,0.0,10.629645549260726,0.0,0.8294929920487033
2537,13,3,2011-11-01,634.25,2029.8633609480853,3.25,10.783034571674026,0.75,0.8395985329997495
0,0,0,2011-12-01,634.25,2048.776371184429,3.25,10.936423594087326,0.75,0.8497040739507957
9000,49,2,2012-01-01,2884.25,2067.689381420773,15.5,11.089812616500627,1.25,0.9637943931906882
1982,9,2,2012-02-01,3379.75,2867.189663375343,17.75,11.243201638913927,1.75,1.4781232236556812
5000,8,1,2012-03-01,3995.5,5472.615853161043,16.5,11.396590661327226,1.25,1.9924520541206745
22000,13,4,2012-04-01,9495.5,8078.042042946743,19.75,11.549979683740526,2.25,2.506780884585668
11942,58,6,2012-05-01,10231.0,10683.468232732444,22.0,11.703368706153826,3.25,3.021109715050661
9000,69,4,2012-06-01,11985.5,9892.908478702184,37.0,11.856757728567127,3.75,3.535438545515654
2000,0,1,2012-07-01,11235.5,8521.571537333572,35.0,12.010146750980427,3.75,3.7006300797739655
0,0,0,2012-08-01,5735.5,7150.234595964959,31.75,12.163535773393727,2.75,2.775412931017316
1718,6,2,2012-09-01,3179.5,5778.897654596349,18.75,12.316924795807026,1.75,1.8501957822606667
3000,1,1,2012-10-01,1679.5,4407.560713227736,1.75,12.470313818220326,1.0,0.9249786335040167
0,0,0,2012-11-01,1179.5,3036.2237718591277,1.75,12.623702840633626,0.75,0.8395840901577619
3657,8,3,2012-12-01,2093.75,1664.8868304905118,3.75,12.777091863046927,1.5,0.981539176855609
0,0,0,2013-01-01,1664.25,293.5498891219031,2.25,12.930480885460227,1.0,1.123494263553455
0,0,0,2013-02-01,914.25,-1077.7870522467128,2.0,13.083869907873526,0.75,1.2654493502512993
3000,7,1,2013-03-01,1664.25,1795.0584883426409,3.75,13.237258930286826,1.0,1.4074044369491459
8902,20,4,2013-04-01,2975.5,6575.705999277399,6.75,13.390647952700126,1.25,1.5493595236469924
55000,29,2,2013-05-01,16725.5,11356.35351021215,14.0,13.544036975113427,1.75,1.691314610344838
