views,comments,freq,month-year,moving-avg-views,piecewise-views,moving-avg-comments,piecewise-comments,moving-avg-freq,piecewise-freq
0,0,0,2008-01-01,0.0,-454.38439209787214,0.0,-3.4044777137435402,0.0,-0.3530791169142995
0,0,0,2008-02-01,0.0,-331.1396243065143,0.0,-2.46512572643166,0.0,-0.28115576035060397
0,0,0,2008-03-01,0.0,-207.8948565151565,0.0,-1.5257737391197803,0.0,-0.20923240378690847
0,0,0,2008-04-01,0.0,-84.65008872379872,0.0,-0.5864217518079005,0.0,-0.13730904722321297
0,0,0,2008-05-01,0.0,38.59467906755913,0.0,0.3529302355039796,0.0,-0.06538569065951744
0,0,0,2008-06-01,0.0,161.83944685891697,0.0,1.2922822228158597,0.0,0.006537665904178092
0,0,0,2008-07-01,0.0,285.0842146502747,0.0,2.2316342101277393,0.0,0.07846102246787356
0,0,0,2008-08-01,0.0,408.32898244163255,0.0,3.17098619743962,0.0,0.1503843790315691
0,0,0,2008-09-01,0.0,531.5737502329904,0.0,4.1103381847515,0.0,0.22230773559526462
0,0,0,2008-10-01,0.0,654.8185180243482,0.0,5.049690172063379,0.0,0.29423109215896015
0,0,0,2008-11-01,0.0,778.0632858157061,0.0,5.989042159375259,0.0,0.3661544487226557
4000,32,1,2008-12-01,1000.0,901.3080536070639,8.0,6.92839414668714,0.25,0.4380778052863512
3000,25,1,2009-01-01,1750.0,1024.5528213984217,14.25,7.8677461339990185,0.5,0.5100011618500466
0,0,0,2009-02-01,1750.0,1147.7975891897795,14.25,8.807098121310899,0.5,0.5819245184137422
0,0,0,2009-03-01,1750.0,1271.0423569811373,14.25,9.74645010862278,0.5,0.6538478749774377
2000,5,1,2009-04-01,1250.0,1394.2871247724952,7.5,10.685802095934658,0.5,0.7257712315411333
0,0,0,2009-05-01,500.0,2832.2535164903097,1.25,32.17471734576987,0.25,0.7976945881048287
32000,420,3,2009-06-01,8500.0,5441.672578346686,106.25,65.09969764231607,1.0,0.8696179446685242
2000,9,1,2009-07-01,9000.0,8051.091640203062,108.5,98.02467793886227,1.25,0.9415413012322198
2000,12,1,2009-08-01,9000.0,10660.510702059439,110.25,130.94965823540846,1.25,1.0134646577959152
966,1,1,2009-09-01,9241.5,8112.841164936644,110.5,110.50054486441638,1.5,1.0853880143596109
3000,17,2,2009-10-01,1991.5,4237.956825481604,9.75,9.751607095017192,1.25,1.1573113709233063
0,0,0,2009-11-01,1491.5,363.07248602656546,7.5,-4.3916682729153536,1.0,1.229234727487002
0,0,0,2009-12-01,991.5,1337.9654015765918,4.5,9.864450988056518,0.75,1.3011580840506973
