month-year,moving-avg-views
2008-01-01,0
2008-02-01,0
2008-03-01,0
2008-04-01,0
2008-05-01,0
2008-06-01,0
2008-07-01,0
2008-08-01,0
2008-09-01,0
2008-10-01,0
2008-11-01,0
2008-12-01,0
2009-01-01,0
2009-02-01,0
2009-03-01,0
2009-04-01,0
2009-05-01,0
2009-06-01,0
2009-07-01,0
2009-08-01,0
2009-09-01,0
2009-10-01,0
2009-11-01,0
2009-12-01,0
2010-01-01,0
2010-02-01,0
2010-03-01,0
2010-04-01,0
2010-05-01,0
2010-06-01,0
2010-07-01,0
2010-08-01,0
2010-09-01,0
2010-10-01,0
2010-11-01,0
2010-12-01,0
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,0
2012-11-01,1000
2012-12-01,1000
2013-01-01,1000
2013-02-01,12250
2013-03-01,11250
2013-04-01,11250
2013-05-01,11250
2013-06-01,0
2013-07-01,6750
2013-08-01,6750
2013-09-01,6750
2013-10-01,6750
2013-11-01,0
2013-12-01,0
2014-01-01,0
2014-02-01,0
2014-03-01,0
2014-04-01,500
2014-05-01,500
2014-06-01,500
2014-07-01,500
2014-08-01,0
2014-09-01,0
2014-10-01,500
2014-11-01,500
2014-12-01,500
2015-01-01,19750
2015-02-01,20250
2015-03-01,20250
2015-04-01,20250
2015-05-01,1750
2015-06-01,750
2015-07-01,6000
2015-08-01,6000
2015-09-01,6000
2015-10-01,6000
2015-11-01,2250
2015-12-01,4500
2016-01-01,3750
2016-02-01,3750
2016-03-01,11250
2016-04-01,9000
2016-05-01,9000
2016-06-01,9500
2016-07-01,1000
2016-08-01,3750
2016-09-01,5750
2016-10-01,5250
2016-11-01,4750
2016-12-01,2000
2017-01-01,9500
2017-02-01,9500
2017-03-01,9500
2017-04-01,10250
2017-05-01,3750
2017-06-01,3750
2017-07-01,4500
2017-08-01,3750
2017-09-01,3000
2017-10-01,3500
2017-11-01,2750
2017-12-01,3500
2018-01-01,7250
2018-02-01,11250
2018-03-01,11250
2018-04-01,22000
2018-05-01,16000
2018-06-01,13250
2018-07-01,15500
2018-08-01,5250
2018-09-01,5250
2018-10-01,4000
2018-11-01,1750
2018-12-01,500
2019-01-01,5750
2019-02-01,5250
2019-03-01,5250
2019-04-01,5750
2019-05-01,5250
2019-06-01,6230.5
2019-07-01,9230.5
2019-08-01,14730.5
2019-09-01,10730.5
2019-10-01,12000
2019-11-01,12000
2019-12-01,8500
2020-01-01,8750
2020-02-01,7458
2020-03-01,11708
2020-04-01,12659.75
2020-05-01,12159.75
2020-06-01,15701.75
2020-07-01,10451.75
2020-08-01,10404
2020-09-01,16154
2020-10-01,14654
2020-11-01,18144
2020-12-01,45214
2021-01-01,54714
2021-02-01,60464
2021-03-01,68209.5
2021-04-01,46735.5
2021-05-01,42579.25
2021-06-01,51970.25
2021-07-01,48234.75
2021-08-01,50984.75
2021-09-01,49504
2021-10-01,46478.75
2021-11-01,49455.5
2021-12-01,43291
2022-01-01,40178
2022-02-01,31346.25
2022-03-01,25316
2022-04-01,32434.75
2022-05-01,29200
2022-06-01,24349.5
2022-07-01,23632
2022-08-01,17360.75
2022-09-01,15061
2022-10-01,17542
2022-11-01,14084.5
2022-12-01,10756
2023-01-01,10650
